"external_gene_id"	"description"
"Tmem39a"	"transmembrane protein 39a [Source:MGI Symbol;Acc:MGI:1915096]"
"Cdk12"	"cyclin-dependent kinase 12 [Source:MGI Symbol;Acc:MGI:1098802]"
"Ranbp2"	"RAN binding protein 2 [Source:MGI Symbol;Acc:MGI:894323]"
"Csnk1g2"	"casein kinase 1, gamma 2 [Source:MGI Symbol;Acc:MGI:1920014]"
"Cd79a"	"CD79A antigen (immunoglobulin-associated alpha) [Source:MGI Symbol;Acc:MGI:101774]"
"Fcgrt"	"Fc receptor, IgG, alpha chain transporter [Source:MGI Symbol;Acc:MGI:103017]"
"Pih1d1"	"PIH1 domain containing 1 [Source:MGI Symbol;Acc:MGI:1916095]"
"Rps11"	"ribosomal protein S11 [Source:MGI Symbol;Acc:MGI:1351329]"
"Med29"	"mediator complex subunit 29 [Source:MGI Symbol;Acc:MGI:1914474]"
"Pex19"	"peroxisomal biogenesis factor 19 [Source:MGI Symbol;Acc:MGI:1334458]"
"Crhr2"	"corticotropin releasing hormone receptor 2 [Source:MGI Symbol;Acc:MGI:894312]"
"Impdh1"	"inosine 5'-phosphate dehydrogenase 1 [Source:MGI Symbol;Acc:MGI:96567]"
"Calr"	"calreticulin [Source:MGI Symbol;Acc:MGI:88252]"
"Rpl8"	"ribosomal protein L8 [Source:MGI Symbol;Acc:MGI:1350927]"
"Akt2"	"thymoma viral proto-oncogene 2 [Source:MGI Symbol;Acc:MGI:104874]"
"Dnaja3"	"DnaJ (Hsp40) homolog, subfamily A, member 3 [Source:MGI Symbol;Acc:MGI:1933786]"
"Angptl2"	"angiopoietin-like 2 [Source:MGI Symbol;Acc:MGI:1347002]"
"Phb2"	"prohibitin 2 [Source:MGI Symbol;Acc:MGI:102520]"
"Utp20"	"UTP20, small subunit (SSU) processome component, homolog (yeast) [Source:MGI Symbol;Acc:MGI:1917933]"
"Tmed4"	"transmembrane emp24 protein transport domain containing 4 [Source:MGI Symbol;Acc:MGI:1915070]"
"Col26a1"	"collagen, type XXVI, alpha 1 [Source:MGI Symbol;Acc:MGI:2155345]"
"Ndrg2"	"N-myc downstream regulated gene 2 [Source:MGI Symbol;Acc:MGI:1352498]"
"Slbp"	"stem-loop binding protein [Source:MGI Symbol;Acc:MGI:108402]"
"Srpk1"	"serine/arginine-rich protein specific kinase 1 [Source:MGI Symbol;Acc:MGI:106908]"
"Hdgf"	"hepatoma-derived growth factor [Source:MGI Symbol;Acc:MGI:1194494]"
"Rasa4"	"RAS p21 protein activator 4 [Source:MGI Symbol;Acc:MGI:1858600]"
"Hnrnpa2b1"	"heterogeneous nuclear ribonucleoprotein A2/B1 [Source:MGI Symbol;Acc:MGI:104819]"
"Wisp1"	"WNT1 inducible signaling pathway protein 1 [Source:MGI Symbol;Acc:MGI:1197008]"
"Corin"	"corin [Source:MGI Symbol;Acc:MGI:1349451]"
"Plekha8"	"pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 8 [Source:MGI Symbol;Acc:MGI:2681164]"
"Fgfr4"	"fibroblast growth factor receptor 4 [Source:MGI Symbol;Acc:MGI:95525]"
"Tbl2"	"transducin (beta)-like 2 [Source:MGI Symbol;Acc:MGI:1351652]"
"Nid1"	"nidogen 1 [Source:MGI Symbol;Acc:MGI:97342]"
"Hmox1"	"heme oxygenase (decycling) 1 [Source:MGI Symbol;Acc:MGI:96163]"
"Mprip"	"myosin phosphatase Rho interacting protein [Source:MGI Symbol;Acc:MGI:1349438]"
"Pafah1b3"	"platelet-activating factor acetylhydrolase, isoform 1b, subunit 3 [Source:MGI Symbol;Acc:MGI:108414]"
"Mef2c"	"myocyte enhancer factor 2C [Source:MGI Symbol;Acc:MGI:99458]"
"Eif4g2"	"eukaryotic translation initiation factor 4, gamma 2 [Source:MGI Symbol;Acc:MGI:109207]"
"Mthfd2"	"methylenetetrahydrofolate dehydrogenase (NAD+ dependent), methenyltetrahydrofolate cyclohydrolase [Source:MGI Symbol;Acc:MGI:1338850]"
"Kit"	"kit oncogene [Source:MGI Symbol;Acc:MGI:96677]"
"Tfap4"	"transcription factor AP4 [Source:MGI Symbol;Acc:MGI:103239]"
"Sqrdl"	"sulfide quinone reductase-like (yeast) [Source:MGI Symbol;Acc:MGI:1929899]"
"Gata6"	"GATA binding protein 6 [Source:MGI Symbol;Acc:MGI:107516]"
"Htra1"	"HtrA serine peptidase 1 [Source:MGI Symbol;Acc:MGI:1929076]"
"Tmem147"	"transmembrane protein 147 [Source:MGI Symbol;Acc:MGI:1915011]"
"Rps9"	"ribosomal protein S9 [Source:MGI Symbol;Acc:MGI:1924096]"
"Susd2"	"sushi domain containing 2 [Source:MGI Symbol;Acc:MGI:1918983]"
"Fbln1"	"fibulin 1 [Source:MGI Symbol;Acc:MGI:95487]"
"Tek"	"endothelial-specific receptor tyrosine kinase [Source:MGI Symbol;Acc:MGI:98664]"
"Hyi"	"hydroxypyruvate isomerase homolog (E. coli) [Source:MGI Symbol;Acc:MGI:1915430]"
"Adamts4"	"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 4 [Source:MGI Symbol;Acc:MGI:1339949]"
"Epha2"	"Eph receptor A2 [Source:MGI Symbol;Acc:MGI:95278]"
"Rbm14"	"RNA binding motif protein 14 [Source:MGI Symbol;Acc:MGI:1929092]"
"Neu1"	"neuraminidase 1 [Source:MGI Symbol;Acc:MGI:97305]"
"Scube2"	"signal peptide, CUB domain, EGF-like 2 [Source:MGI Symbol;Acc:MGI:1928765]"
"Homer1"	"homer homolog 1 (Drosophila) [Source:MGI Symbol;Acc:MGI:1347345]"
"Cav1"	"caveolin 1, caveolae protein [Source:MGI Symbol;Acc:MGI:102709]"
"Zfp655"	"zinc finger protein 655 [Source:MGI Symbol;Acc:MGI:1919861]"
"Rplp1"	"ribosomal protein, large, P1 [Source:MGI Symbol;Acc:MGI:1927099]"
"Rps18"	"ribosomal protein S18 [Source:MGI Symbol;Acc:MGI:98146]"
"Vps72"	"vacuolar protein sorting 72 (yeast) [Source:MGI Symbol;Acc:MGI:1202305]"
"Bmp7"	"bone morphogenetic protein 7 [Source:MGI Symbol;Acc:MGI:103302]"
"Dynll1"	"dynein light chain LC8-type 1 [Source:MGI Symbol;Acc:MGI:1861457]"
"Lnp"	"limb and neural patterns [Source:MGI Symbol;Acc:MGI:1918115]"
"Tmem8c"	"transmembrane protein 8C [Source:MGI Symbol;Acc:MGI:1913389]"
"Trpm5"	"transient receptor potential cation channel, subfamily M, member 5 [Source:MGI Symbol;Acc:MGI:1861718]"
"Rarres2"	"retinoic acid receptor responder (tazarotene induced) 2 [Source:MGI Symbol;Acc:MGI:1918910]"
"Elk1"	"ELK1, member of ETS oncogene family [Source:MGI Symbol;Acc:MGI:101833]"
"Nav1"	"neuron navigator 1 [Source:MGI Symbol;Acc:MGI:2183683]"
"Myod1"	"myogenic differentiation 1 [Source:MGI Symbol;Acc:MGI:97275]"
"Pou6f1"	"POU domain, class 6, transcription factor 1 [Source:MGI Symbol;Acc:MGI:102935]"
"Nuak2"	"NUAK family, SNF1-like kinase, 2 [Source:MGI Symbol;Acc:MGI:1921387]"
"Rps25"	"ribosomal protein S25 [Source:MGI Symbol;Acc:MGI:1922867]"
"Tusc2"	"tumor suppressor candidate 2 [Source:MGI Symbol;Acc:MGI:1931086]"
"Nprl2"	"nitrogen permease regulator-like 2 [Source:MGI Symbol;Acc:MGI:1914482]"
"Epn3"	"epsin 3 [Source:MGI Symbol;Acc:MGI:1919139]"
"Rnf112"	"ring finger protein 112 [Source:MGI Symbol;Acc:MGI:106611]"
"Tmem86a"	"transmembrane protein 86A [Source:MGI Symbol;Acc:MGI:1915143]"
"Ebf3"	"early B cell factor 3 [Source:MGI Symbol;Acc:MGI:894289]"
"Vipr2"	"vasoactive intestinal peptide receptor 2 [Source:MGI Symbol;Acc:MGI:107166]"
"Zfp296"	"zinc finger protein 296 [Source:MGI Symbol;Acc:MGI:1926956]"
"Pgam1"	"phosphoglycerate mutase 1 [Source:MGI Symbol;Acc:MGI:97552]"
"Brms1l"	"breast cancer metastasis-suppressor 1-like [Source:MGI Symbol;Acc:MGI:1196337]"
"Rpl15"	"ribosomal protein L15 [Source:MGI Symbol;Acc:MGI:1913730]"
"Mplkip"	"M-phase specific PLK1 intereacting protein [Source:MGI Symbol;Acc:MGI:1913558]"
"Rps5"	"ribosomal protein S5 [Source:MGI Symbol;Acc:MGI:1097682]"
"Aldh1a2"	"aldehyde dehydrogenase family 1, subfamily A2 [Source:MGI Symbol;Acc:MGI:107928]"
"Atraid"	"all-trans retinoic acid induced differentiation factor [Source:MGI Symbol;Acc:MGI:1918918]"
"Cad"	"carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase [Source:MGI Symbol;Acc:MGI:1916969]"
"Tvp23b"	"trans-golgi network vesicle protein 23B [Source:MGI Symbol;Acc:MGI:1914760]"
"Bicc1"	"bicaudal C homolog 1 (Drosophila) [Source:MGI Symbol;Acc:MGI:1933388]"
"Anapc1"	"anaphase promoting complex subunit 1 [Source:MGI Symbol;Acc:MGI:103097]"
"Hoxa2"	"homeobox A2 [Source:MGI Symbol;Acc:MGI:96174]"
"Dnajb9"	"DnaJ (Hsp40) homolog, subfamily B, member 9 [Source:MGI Symbol;Acc:MGI:1351618]"
"Efr3a"	"EFR3 homolog A (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1923990]"
"Aldh1a3"	"aldehyde dehydrogenase family 1, subfamily A3 [Source:MGI Symbol;Acc:MGI:1861722]"
"Actn1"	"actinin, alpha 1 [Source:MGI Symbol;Acc:MGI:2137706]"
"Cnksr3"	"Cnksr family member 3 [Source:MGI Symbol;Acc:MGI:2674130]"
"Abca1"	"ATP-binding cassette, sub-family A (ABC1), member 1 [Source:MGI Symbol;Acc:MGI:99607]"
"Gadd45b"	"growth arrest and DNA-damage-inducible 45 beta [Source:MGI Symbol;Acc:MGI:107776]"
"Hspa8"	"heat shock protein 8 [Source:MGI Symbol;Acc:MGI:105384]"
"Nfe2l2"	"nuclear factor, erythroid derived 2, like 2 [Source:MGI Symbol;Acc:MGI:108420]"
"Rxra"	"retinoid X receptor alpha [Source:MGI Symbol;Acc:MGI:98214]"
"Dstn"	"destrin [Source:MGI Symbol;Acc:MGI:1929270]"
"Gatsl2"	"GATS protein-like 2 [Source:MGI Symbol;Acc:MGI:1933384]"
"Lonrf3"	"LON peptidase N-terminal domain and ring finger 3 [Source:MGI Symbol;Acc:MGI:1921615]"
"Pls3"	"plastin 3 (T-isoform) [Source:MGI Symbol;Acc:MGI:104807]"
"Brca1"	"breast cancer 1 [Source:MGI Symbol;Acc:MGI:104537]"
"Tnnc2"	"troponin C2, fast [Source:MGI Symbol;Acc:MGI:98780]"
"Cd300lg"	"CD300 antigen like family member G [Source:MGI Symbol;Acc:MGI:1289168]"
"Traf4"	"TNF receptor associated factor 4 [Source:MGI Symbol;Acc:MGI:1202880]"
"Rpl19"	"ribosomal protein L19 [Source:MGI Symbol;Acc:MGI:98020]"
"C1qtnf1"	"C1q and tumor necrosis factor related protein 1 [Source:MGI Symbol;Acc:MGI:1919254]"
"Cdc6"	"cell division cycle 6 [Source:MGI Symbol;Acc:MGI:1345150]"
"Wsb1"	"WD repeat and SOCS box-containing 1 [Source:MGI Symbol;Acc:MGI:1926139]"
"Ttpal"	"tocopherol (alpha) transfer protein-like [Source:MGI Symbol;Acc:MGI:1923330]"
"Ctsa"	"cathepsin A [Source:MGI Symbol;Acc:MGI:97748]"
"Myo1c"	"myosin IC [Source:MGI Symbol;Acc:MGI:106612]"
"Crk"	"v-crk sarcoma virus CT10 oncogene homolog (avian) [Source:MGI Symbol;Acc:MGI:88508]"
"Cox7c"	"cytochrome c oxidase subunit VIIc [Source:MGI Symbol;Acc:MGI:103226]"
"Nkiras2"	"NFKB inhibitor interacting Ras-like protein 2 [Source:MGI Symbol;Acc:MGI:1919216]"
"Ptgis"	"prostaglandin I2 (prostacyclin) synthase [Source:MGI Symbol;Acc:MGI:1097156]"
"Med13l"	"mediator complex subunit 13-like [Source:MGI Symbol;Acc:MGI:2670178]"
"Hist1h2bc"	"histone cluster 1, H2bc [Source:MGI Symbol;Acc:MGI:1915274]"
"Mfng"	"MFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase [Source:MGI Symbol;Acc:MGI:1095404]"
"Psmb6"	"proteasome (prosome, macropain) subunit, beta type 6 [Source:MGI Symbol;Acc:MGI:104880]"
"Gpx3"	"glutathione peroxidase 3 [Source:MGI Symbol;Acc:MGI:105102]"
"Kpna2"	"karyopherin (importin) alpha 2 [Source:MGI Symbol;Acc:MGI:103561]"
"Myo1b"	"myosin IB [Source:MGI Symbol;Acc:MGI:107752]"
"6330403K07Rik"	"RIKEN cDNA 6330403K07 gene [Source:MGI Symbol;Acc:MGI:1918001]"
"Pcgf2"	"polycomb group ring finger 2 [Source:MGI Symbol;Acc:MGI:99161]"
"Phf23"	"PHD finger protein 23 [Source:MGI Symbol;Acc:MGI:1925496]"
"Sp2"	"Sp2 transcription factor [Source:MGI Symbol;Acc:MGI:1926162]"
"Mpdu1"	"mannose-P-dolichol utilization defect 1 [Source:MGI Symbol;Acc:MGI:1346040]"
"Lsp1"	"lymphocyte specific 1 [Source:MGI Symbol;Acc:MGI:96832]"
"Unc45b"	"unc-45 homolog B (C. elegans) [Source:MGI Symbol;Acc:MGI:2443377]"
"Irf1"	"interferon regulatory factor 1 [Source:MGI Symbol;Acc:MGI:96590]"
"P4ha2"	"procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha II polypeptide [Source:MGI Symbol;Acc:MGI:894286]"
"Slc35b4"	"solute carrier family 35, member B4 [Source:MGI Symbol;Acc:MGI:1931249]"
"Fis1"	"fission 1 (mitochondrial outer membrane) homolog (yeast) [Source:MGI Symbol;Acc:MGI:1913687]"
"Slc25a22"	"solute carrier family 25 (mitochondrial carrier, glutamate), member 22 [Source:MGI Symbol;Acc:MGI:1915517]"
"Scrn1"	"secernin 1 [Source:MGI Symbol;Acc:MGI:1917188]"
"Rnf145"	"ring finger protein 145 [Source:MGI Symbol;Acc:MGI:1921565]"
"Ahr"	"aryl-hydrocarbon receptor [Source:MGI Symbol;Acc:MGI:105043]"
"Gdpd2"	"glycerophosphodiester phosphodiesterase domain containing 2 [Source:MGI Symbol;Acc:MGI:1918834]"
"Ubxn6"	"UBX domain protein 6 [Source:MGI Symbol;Acc:MGI:1913780]"
"Cyb561"	"cytochrome b-561 [Source:MGI Symbol;Acc:MGI:103253]"
"Lyst"	"lysosomal trafficking regulator [Source:MGI Symbol;Acc:MGI:107448]"
"Polr2i"	"polymerase (RNA) II (DNA directed) polypeptide I [Source:MGI Symbol;Acc:MGI:1917170]"
"Krt10"	"keratin 10 [Source:MGI Symbol;Acc:MGI:96685]"
"Fuca2"	"fucosidase, alpha-L- 2, plasma [Source:MGI Symbol;Acc:MGI:1914098]"
"Plagl1"	"pleiomorphic adenoma gene-like 1 [Source:MGI Symbol;Acc:MGI:1100874]"
"Rev3l"	"REV3-like, catalytic subunit of DNA polymerase zeta RAD54 like (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1337131]"
"Popdc3"	"popeye domain containing 3 [Source:MGI Symbol;Acc:MGI:1930153]"
"Perp"	"PERP, TP53 apoptosis effector [Source:MGI Symbol;Acc:MGI:1929938]"
"Ppp1r12a"	"protein phosphatase 1, regulatory (inhibitor) subunit 12A [Source:MGI Symbol;Acc:MGI:1309528]"
"P4ha1"	"procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha 1 polypeptide [Source:MGI Symbol;Acc:MGI:97463]"
"Rhobtb1"	"Rho-related BTB domain containing 1 [Source:MGI Symbol;Acc:MGI:1916538]"
"Sgk1"	"serum/glucocorticoid regulated kinase 1 [Source:MGI Symbol;Acc:MGI:1340062]"
"Ikbip"	"IKBKB interacting protein [Source:MGI Symbol;Acc:MGI:1914704]"
"Nedd1"	"neural precursor cell expressed, developmentally down-regulated gene 1 [Source:MGI Symbol;Acc:MGI:97293]"
"Tmcc3"	"transmembrane and coiled coil domains 3 [Source:MGI Symbol;Acc:MGI:2442900]"
"Nuak1"	"NUAK family, SNF1-like kinase, 1 [Source:MGI Symbol;Acc:MGI:1925226]"
"Hsp90b1"	"heat shock protein 90, beta (Grp94), member 1 [Source:MGI Symbol;Acc:MGI:98817]"
"Igf1"	"insulin-like growth factor 1 [Source:MGI Symbol;Acc:MGI:96432]"
"Mybpc1"	"myosin binding protein C, slow-type [Source:MGI Symbol;Acc:MGI:1336213]"
"Sirt1"	"sirtuin 1 [Source:MGI Symbol;Acc:MGI:2135607]"
"Pald1"	"phosphatase domain containing, paladin 1 [Source:MGI Symbol;Acc:MGI:1351623]"
"Unc5b"	"unc-5 homolog B (C. elegans) [Source:MGI Symbol;Acc:MGI:894703]"
"Slc16a7"	"solute carrier family 16 (monocarboxylic acid transporters), member 7 [Source:MGI Symbol;Acc:MGI:1330284]"
"Ddit4"	"DNA-damage-inducible transcript 4 [Source:MGI Symbol;Acc:MGI:1921997]"
"Dnajb12"	"DnaJ (Hsp40) homolog, subfamily B, member 12 [Source:MGI Symbol;Acc:MGI:1931881]"
"Cand1"	"cullin associated and neddylation disassociated 1 [Source:MGI Symbol;Acc:MGI:1261820]"
"Thap2"	"THAP domain containing, apoptosis associated protein 2 [Source:MGI Symbol;Acc:MGI:1914066]"
"Ndufs7"	"NADH dehydrogenase (ubiquinone) Fe-S protein 7 [Source:MGI Symbol;Acc:MGI:1922656]"
"Tcf3"	"transcription factor 3 [Source:MGI Symbol;Acc:MGI:98510]"
"Aldh1l2"	"aldehyde dehydrogenase 1 family, member L2 [Source:MGI Symbol;Acc:MGI:2444680]"
"Sumo3"	"SMT3 suppressor of mif two 3 homolog 3 (yeast) [Source:MGI Symbol;Acc:MGI:1336201]"
"Hint1"	"histidine triad nucleotide binding protein 1 [Source:MGI Symbol;Acc:MGI:1321133]"
"Rel"	"reticuloendotheliosis oncogene [Source:MGI Symbol;Acc:MGI:97897]"
"Mpg"	"N-methylpurine-DNA glycosylase [Source:MGI Symbol;Acc:MGI:97073]"
"Xpo1"	"exportin 1, CRM1 homolog (yeast) [Source:MGI Symbol;Acc:MGI:2144013]"
"Nsg2"	"neuron specific gene family member 2 [Source:MGI Symbol;Acc:MGI:1202070]"
"Stc2"	"stanniocalcin 2 [Source:MGI Symbol;Acc:MGI:1316731]"
"Fstl3"	"follistatin-like 3 [Source:MGI Symbol;Acc:MGI:1890391]"
"Hmmr"	"hyaluronan mediated motility receptor (RHAMM) [Source:MGI Symbol;Acc:MGI:104667]"
"Hspa4"	"heat shock protein 4 [Source:MGI Symbol;Acc:MGI:1342292]"
"Canx"	"calnexin [Source:MGI Symbol;Acc:MGI:88261]"
"Gnb2l1"	"guanine nucleotide binding protein (G protein), beta polypeptide 2 like 1 [Source:MGI Symbol;Acc:MGI:101849]"
"Pdlim4"	"PDZ and LIM domain 4 [Source:MGI Symbol;Acc:MGI:1353470]"
"Kremen1"	"kringle containing transmembrane protein 1 [Source:MGI Symbol;Acc:MGI:1933988]"
"Igfbp3"	"insulin-like growth factor binding protein 3 [Source:MGI Symbol;Acc:MGI:96438]"
"Adcy1"	"adenylate cyclase 1 [Source:MGI Symbol;Acc:MGI:99677]"
"Smtn"	"smoothelin [Source:MGI Symbol;Acc:MGI:1354727]"
"Rps27a"	"ribosomal protein S27A [Source:MGI Symbol;Acc:MGI:1925544]"
"Xbp1"	"X-box binding protein 1 [Source:MGI Symbol;Acc:MGI:98970]"
"Supt4a"	"suppressor of Ty 4A [Source:MGI Symbol;Acc:MGI:107416]"
"Sept4"	"septin 4 [Source:MGI Symbol;Acc:MGI:1270156]"
"Myo19"	"myosin XIX [Source:MGI Symbol;Acc:MGI:1913446]"
"Acaca"	"acetyl-Coenzyme A carboxylase alpha [Source:MGI Symbol;Acc:MGI:108451]"
"Myocd"	"myocardin [Source:MGI Symbol;Acc:MGI:2137495]"
"Nampt"	"nicotinamide phosphoribosyltransferase [Source:MGI Symbol;Acc:MGI:1929865]"
"Nbas"	"neuroblastoma amplified sequence [Source:MGI Symbol;Acc:MGI:1918419]"
"Snx13"	"sorting nexin 13 [Source:MGI Symbol;Acc:MGI:2661416]"
"Sdc1"	"syndecan 1 [Source:MGI Symbol;Acc:MGI:1349162]"
"Nrcam"	"neuron-glia-CAM-related cell adhesion molecule [Source:MGI Symbol;Acc:MGI:104750]"
"Trib2"	"tribbles homolog 2 (Drosophila) [Source:MGI Symbol;Acc:MGI:2145021]"
"Fam84a"	"family with sequence similarity 84, member A [Source:MGI Symbol;Acc:MGI:2145011]"
"Rnf144a"	"ring finger protein 144A [Source:MGI Symbol;Acc:MGI:1344401]"
"Id2"	"inhibitor of DNA binding 2 [Source:MGI Symbol;Acc:MGI:96397]"
"Klf11"	"Kruppel-like factor 11 [Source:MGI Symbol;Acc:MGI:2653368]"
"Ftsj3"	"FtsJ homolog 3 (E. coli) [Source:MGI Symbol;Acc:MGI:1860295]"
"Cep112"	"centrosomal protein 112 [Source:MGI Symbol;Acc:MGI:1923673]"
"Cygb"	"cytoglobin [Source:MGI Symbol;Acc:MGI:2149481]"
"Rabep1"	"rabaptin, RAB GTPase binding effector protein 1 [Source:MGI Symbol;Acc:MGI:1860236]"
"Luc7l3"	"LUC7-like 3 (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1914934]"
"Xylt2"	"xylosyltransferase II [Source:MGI Symbol;Acc:MGI:2444797]"
"Hoxb9"	"homeobox B9 [Source:MGI Symbol;Acc:MGI:96190]"
"Vamp2"	"vesicle-associated membrane protein 2 [Source:MGI Symbol;Acc:MGI:1313277]"
"Top2a"	"topoisomerase (DNA) II alpha [Source:MGI Symbol;Acc:MGI:98790]"
"Acly"	"ATP citrate lyase [Source:MGI Symbol;Acc:MGI:103251]"
"Ubtf"	"upstream binding transcription factor, RNA polymerase I [Source:MGI Symbol;Acc:MGI:98512]"
"Coch"	"coagulation factor C homolog (Limulus polyphemus) [Source:MGI Symbol;Acc:MGI:1278313]"
"Ston2"	"stonin 2 [Source:MGI Symbol;Acc:MGI:1918272]"
"Sec23a"	"SEC23A (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1349635]"
"Npas3"	"neuronal PAS domain protein 3 [Source:MGI Symbol;Acc:MGI:1351610]"
"4933426M11Rik"	"RIKEN cDNA 4933426M11 gene [Source:MGI Symbol;Acc:MGI:2444661]"
"Srsf5"	"serine/arginine-rich splicing factor 5 [Source:MGI Symbol;Acc:MGI:98287]"
"Mta1"	"metastasis associated 1 [Source:MGI Symbol;Acc:MGI:2150037]"
"Esyt2"	"extended synaptotagmin-like protein 2 [Source:MGI Symbol;Acc:MGI:1261845]"
"Nrde2"	"nrde-2 necessary for RNA interference, domain containing [Source:MGI Symbol;Acc:MGI:2670969]"
"Lgmn"	"legumain [Source:MGI Symbol;Acc:MGI:1330838]"
"Akr1c18"	"aldo-keto reductase family 1, member C18 [Source:MGI Symbol;Acc:MGI:2145420]"
"Net1"	"neuroepithelial cell transforming gene 1 [Source:MGI Symbol;Acc:MGI:1927138]"
"Isca2"	"iron-sulfur cluster assembly 2 homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1921566]"
"Vash1"	"vasohibin 1 [Source:MGI Symbol;Acc:MGI:2442543]"
"Hsp90aa1"	"heat shock protein 90, alpha (cytosolic), class A member 1 [Source:MGI Symbol;Acc:MGI:96250]"
